City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,vadso,70.0744,29.7487,268.24,93,75,4.63,NO,1701668326
238,belo sur tsiribihina,-19.7,44.55,305.6,46,74,1.32,MG,1701668326
239,horta,38.5333,-28.6333,287.6,70,38,0.89,PT,1701668327
240,pemangkat,1.1667,108.9667,301.46,73,98,2.93,ID,1701668327
241,as sulayyil,20.4607,45.5779,290.29,33,6,3.81,SA,1701668327
242,shiprock,36.7855,-108.687,276.34,56,15,1.34,US,1701668327
243,commentry,46.2921,2.7416,277.97,83,100,5.74,FR,1701668327
244,alpena,45.0617,-83.4327,273.29,96,100,2.06,US,1701668328
245,beloyarskiy,63.7119,66.6722,239.26,100,50,0.89,RU,1701668328
246,yuza,39.0,139.9167,280.18,71,89,3.02,JP,1701668328
247,toropets,56.4978,31.6353,256.78,99,100,1.39,RU,1701668328
248,vila do maio,15.1333,-23.2167,296.59,79,86,7.76,CV,1701668328
249,isla mujeres,21.2311,-86.731,299.18,84,57,4.44,MX,1701668329
250,sumy,50.9216,34.8003,264.02,93,94,4.12,UA,1701668329
251,pekanbaru,0.5333,101.45,299.33,89,75,2.57,ID,1701668329
252,villa gesell,-37.2639,-56.973,284.85,59,7,3.01,AR,1701668329
253,kedougou,12.5579,-12.1743,296.69,25,100,0.71,SN,1701668329
254,saint-pierre,-21.3393,55.4781,300.13,57,5,2.57,RE,1701668329
255,chai badan,15.2,101.1333,302.69,61,61,5.02,TH,1701668330
256,kampong dungun,3.2167,101.3167,305.96,78,74,2.26,MY,1701668330
257,puerto san jose,13.9256,-90.8244,298.49,81,2,2.2,GT,1701668330
258,puerto baquerizo moreno,-0.9,-89.6,296.44,83,74,3.86,EC,1701668330
259,chinde,26.8418,88.0763,292.36,45,34,2.89,NP,1701668330
260,murghob,38.1702,73.9667,264.31,50,18,1.22,TJ,1701668331
261,oppdal,62.5943,9.6912,260.14,74,33,2.56,NO,1701668331
262,kirakira,-10.4544,161.9205,300.65,83,96,4.45,SB,1701668331
